"year","film","Original Title","director","country","Ref."
2000,"Dancer in the Dark","Dancer in the Dark","Lars von Trier","Denmark","[91]"
2001,"The Son's Room","La stanza del figlio","Nanni Moretti","Italy","[92]"
2002,"The Pianist","The Pianist","Roman Polanski","Poland / France / Germany / United Kingdom","[93]"
2003,"Elephant","Elephant","Gus Van Sant","United States","[94]"
2004,"Fahrenheit 9/11","Fahrenheit 9/11","Michael Moore","United States","[95]"
2005,"L'Enfant","L'Enfant","Jean-Pierre & Luc Dardenne","Belgium / France","[96]"
2006,"The Wind That Shakes the Barley §","The Wind That Shakes the Barley §","Ken Loach","Ireland / United Kingdom / Italy / Germany","[97]"
2007,"4 Months, 3 Weeks and 2 Days","4 luni, 3 săptămâni și 2 zile","Cristian Mungiu","Romania","[98]"
2008,"The Class §","Entre les murs","Laurent Cantet","France","[99]"
2009,"The White Ribbon","The White Ribbon","Michael Haneke","Germany / Austria / France","[100]"
2010,"Uncle Boonmee Who Can Recall His Past Lives","ลุงบุญมีระลึกชาติ","Apichatpong Weerasethakul","Thailand / France / Germany","[101]"
2011,"The Tree of Life","The Tree of Life","Terrence Malick","United States","[102]"
2012,"Amour","Amour","Michael Haneke","France / Germany / Austria","[103]"
2013,"Blue Is the Warmest Colour §","La Vie d'Adèle: Chapitres 1 et 2","Abdellatif Kechiche","France / Belgium / Spain","[104]"
2014,"Winter Sleep","Kış Uykusu","Nuri Bilge Ceylan","Turkey / France / Germany","[105]"
2015,"Dheepan","Dheepan","Jacques Audiard","France","[106]"
2016,"I, Daniel Blake","I, Daniel Blake","Ken Loach","United Kingdom","[107]"
2017,"The Square","The Square","Ruben Östlund","Sweden / Germany / France / Denmark","[108]"
2018,"Shoplifters","万引き家族","Hirokazu Kore-eda","Japan","[109]"
2019,"Parasite §","기생충","Bong Joon-ho","South Korea","[110]"
2020,"Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.","Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.","Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.","Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.","[13]"
2021,"Titane","Titane","Julia Ducournau","France / Belgium","[111]"
2022,"Triangle of Sadness","Triangle of Sadness","Ruben Östlund","Sweden / Germany / France / United Kingdom","[112]"
2023,"Anatomy of a Fall","Anatomie d'une chute","Justine Triet","France","[113]"
2024,"Anora","Anora","Sean Baker","United States","[114]"
